,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
1163,Xeon 7110N,SL9QA (B0),,2500 MHz,,2× 1024 KB,4096 KB,95 W,Socket 604,,,"August 27, 2006",LF80550KF0604M,$856,,,,,,,,,,1.1–1.35 V,15×,667 MT/s,,,,,
1164,Xeon 7110M,SL9Q9 (B0),,2600 MHz,,2× 1024 KB,4096 KB,95 W,Socket 604,,,"August 27, 2006",LF80550KG0644M,$856,,,,,,,,,,1.1–1.35 V,13×,800 MT/s,,,,,
1165,Xeon 7120N,SL9HF (B0),,3000 MHz,,2× 1024 KB,4096 KB,95 W,Socket 604,,,"August 27, 2006",LF80550KF0804M,$1177,,,,,,,,,,1.1–1.35 V,18×,667 MT/s,,,,,
1166,Xeon 7120M,SL9HC (B0),,3000 MHz,,2× 1024 KB,4096 KB,95 W,Socket 604,,,"August 27, 2006",LF80550KG0804M,$1177,,,,,,,,,,1.1–1.35 V,15x,800 MT/s,,,,,
1167,Xeon 7130N,SL9HE (B0),,3166 MHz,,2× 1024 KB,8192 KB,150 W,Socket 604,,,"August 27, 2006",LF80550KF0878M,$1391,,,,,,,,,,1.1–1.35 V,19×,667 MT/s,,,,,
1168,Xeon 7130M,SL9HB (B0),,3200 MHz,,2× 1024 KB,8192 KB,150 W,Socket 604,,,"August 27, 2006",LF80550KG0888M,$1391,,,,,,,,,,1.1–1.35 V,16×,800 MT/s,,,,,
1169,Xeon 7140N,SL9HD (B0),,3333 MHz,,2× 1024 KB,16384 KB,150 W,Socket 604,,,"August 27, 2006",LF80550KF093007,$1980,,,,,,,,,,1.1–1.35 V,20×,667 MT/s,,,,,
1170,Xeon 7140M,SL9HA (B0),,3400 MHz,,2× 1024 KB,16384 KB,150 W,Socket 604,,,"August 27, 2006",LF80550KG096007,$1980,,,,,,,,,,1.1–1.35 V,17×,800 MT/s,,,,,
1171,Xeon 7150N,SL9YR (B0),,3500 MHz,,2× 1024 KB,16384 KB,150 W,Socket 604,,,Q1 2007,LF80550KF100007,$2622,,,,,,,,,,1.1–1.35 V,21×,667 MT/s,,,,,
1172,Pentium II Xeon 400,,,400 MHz,,512 KB,,30.8 W,Slot 2,,,"June 29, 1998",,"$1,124[1]",,,,,,,,100 MT/s,4×,2.0 V,,,,,,,
1173,Pentium II Xeon 400,,,400 MHz,,1 MB,,38.1 W,Slot 2,,,"June 29, 1998",,"$2,836[1]",,,,,,,,100 MT/s,4×,2.0 V,,,,,,,
1174,Pentium II Xeon 450,,,450 MHz,,512 KB,,34.5 W,Slot 2,,,"October 6, 1998",,$824[2],,,,,,,,100 MT/s,4.5×,2.0 V,,,,,,,
1175,Pentium II Xeon 450,,,450 MHz,,1 MB,,42.8 W,Slot 2,,,"January 5, 1999",,"$1,980[3]",,,,,,,,100 MT/s,4.5×,2.0 V,,,,,,,
1176,Pentium II Xeon 450,,,450 MHz,,2 MB,,46.7 W,Slot 2,,,"January 5, 1999",,"$3,692[3]",,,,,,,,100 MT/s,4.5×,2.0 V,,,,,,,
1177,Pentium III Xeon 500,,,500 MHz,,512 KB,,36 W,Slot 2,,,"March 17, 1999",,$931[4],,,,,,,,100 MT/s,5×,2.0 V,,,,,,,
1178,Pentium III Xeon 500,,,500 MHz,,1 MB,,44 W,Slot 2,,,"March 17, 1999",,"$1,980[4]",,,,,,,,100 MT/s,5×,2.0 V,,,,,,,
1179,Pentium III Xeon 500,,,500 MHz,,2 MB,,36.2 W,Slot 2,,,"March 17, 1999",,"$3,692[4]",,,,,,,,100 MT/s,5×,2.0 V,,,,,,,
1180,Pentium III Xeon 550,,,550 MHz,,512 KB,,34 W,Slot 2,,,"August 23, 1999",,$931[5],,,,,,,,100 MT/s,5.5×,2.0 V,,,,,,,
1181,Pentium III Xeon 550,,,550 MHz,,1 MB,,34 W,Slot 2,,,"August 23, 1999",,"$1,980[5]",,,,,,,,100 MT/s,5.5×,2.0 V,,,,,,,
1182,Pentium III Xeon 550,,,550 MHz,,2 MB,,34 W,Slot 2,,,"August 23, 1999",,"$3,692[5]",,,,,,,,100 MT/s,5.5×,2.0 V,,,,,,,
1183,Pentium III Xeon 600,,,600 MHz,,256 KB,,19.2 W,Slot 2,,,October 1999,,$505[6],,,,,,,,133 MT/s,4.5×,2.8–12 V,,,,,,,
1184,Pentium III Xeon 667,,,667 MHz,,256 KB,,21.3 W,Slot 2,,,"October 25, 1999",,$655[6],,,,,,,,133 MT/s,5×,2.8–12 V,,,,,,,
1185,Pentium III Xeon 700,,,700 MHz,,1 MB,,29.6 W,Slot 2,,,"May 22, 2000",,"$1,177[7]",,,,,,,,100 MT/s,7×,2.8–12 V,,,,,,,
1186,Pentium III Xeon 700,,,700 MHz,,2 MB,,29.6 W,Slot 2,,,"May 22, 2000",,"$1,980[7]",,,,,,,,100 MT/s,7×,2.8–12 V,,,,,,,
1187,Pentium III Xeon 733,,,733 MHz,,256 KB,,23.3 W,Slot 2,,,"October 25, 1999",,$826[6],,,,,,,,133 MT/s,5.5×,2.8–12 V,,,,,,,
1188,Pentium III Xeon 800,,,800 MHz,,256 KB,,25.4 W,Slot 2,,,"January 12, 2000",,$901[8],,,,,,,,133 MT/s,6×,2.8–12 V,,,,,,,
1189,Pentium III Xeon 866,,,867 MHz,,256 KB,,29.6 W,Slot 2,,,"April 10, 2000",,$826[9],,,,,,,,133 MT/s,6.5×,2.8–12 V,,,,,,,
1190,Pentium III Xeon 900,,,900 MHz,,2 MB,,39.3 W,Slot 2,,,"March 21, 2001[a]",,"$3,692[13]",,,,,,,,100 MT/s,9×,2.8–12 V,,,,,,,
1191,Pentium III Xeon 933,,,933 MHz,,256 KB,,29.6 W,Slot 2,,,"May 24, 2000",,$794[14],,,,,,,,133 MT/s,7×,2.8–12 V,,,,,,,
1192,Pentium III Xeon 1.00,,,1000 MHz,,256 KB,,30.8 W,Slot 2,,,"August 22, 2000",,$719[15],,,,,,,,133 MT/s,7.5×,2.8–12 V,,,,,,,
1195,Xeon W-1350,SRKPA (B0),,3.3 GHz,5.0 GHz,6 × 512 KB,12 MB,80 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497911 BX80708W1350,$255,6 (12),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1196,Xeon W-1370,SRKP8 (B0),,2.9 GHz,5.1 GHz,8 × 512 KB,16 MB,80 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497713 BX80708W1370,$362,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1197,Xeon W-1390,SRKP5 (B0),,2.8 GHz,5.1 GHz (5.2 w/ TVB),8 × 512 KB,16 MB,80 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497319 BX80708W1390,$494,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1199,Xeon W-1350P,SRKP9 (B0),,4 GHz,5.1 GHz,6 × 512 KB,12 MB,125 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497812 BX80708W1350P,$311,6 (12),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1200,Xeon W-1370P,SRKP7 (B0),,3.6 GHz,5.2 GHz,8 × 512 KB,16 MB,125 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497616 BX80708W1370P,$428,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1201,Xeon W-1390P,SRKQA (B0),,3.5 GHz,5.2 GHz (5.3 w/ TVB),8 × 512 KB,16 MB,125 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497213,$539,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1203,Xeon W-1390T,SRKP6 (B0),,1.5 GHz,4.9 GHz,8 × 512 KB,16 MB,35 W,LGA 1200,DMI 3.0 ×8,,May 2021,CM8070804497518,$494,8 (16),,UHD Graphics P750,350-1200 MHz,,,,,,,,,,,,,
1204,Xeon E-2314,SRKN8 (B0),,2.8 GHz,4.5 GHz,4 × 512 KB,8 MB,65 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804496113,$182,4 (4),,—,—,,,,,,,,,,,,,
1205,Xeon E-2324G,SRKN7 (B0),,3.1 GHz,4.6 GHz,4 × 512 KB,8 MB,65 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804496015 BX80708E2324G,$209 $219,4 (4),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1206,Xeon E-2334,SRKN6 (B0),,3.4 GHz,4.8 GHz,4 × 512 KB,8 MB,65 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804495913 BX80708E2334,$250 $261,4 (8),,—,—,,,,,,,,,,,,,
1207,Xeon E-2336,SRKN5 (B0),,2.9 GHz,4.8 GHz,6 × 512 KB,12 MB,65 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804495816 BX80708E2336,$284 $294,6 (12),,—,—,,,,,,,,,,,,,
1208,Xeon E-2356G,SRKN2 (B0),,3.2 GHz,5.0 GHz,6 × 512 KB,12 MB,80 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804495016,$311,6 (12),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1209,Xeon E-2374G,SRKN3 (B0),,3.7 GHz,5.0 GHz,4 × 512 KB,8 MB,80 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804495216 BX80708E2374G,$334 $345,4 (8),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1210,Xeon E-2378,SRKN4 (B0),,2.6 GHz,4.8 GHz,8 × 512 KB,16 MB,65 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804495612,$362,8 (16),,—,—,,,,,,,,,,,,,
1211,Xeon E-2378G,SRKN1 (B0),,2.8 GHz,5.1 GHz,8 × 512 KB,16 MB,80 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804494916 BX80708E2378G,$494 $505,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1212,Xeon E-2386G,SRKN0 (B0),,3.5 GHz,5.1 GHz,6 × 512 KB,12 MB,95 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804494716,$450,6 (12),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1213,Xeon E-2388G,SRKMZ (B0),,3.2 GHz,5.1 GHz,8 × 512 KB,16 MB,95 W,LGA 1200,DMI 3.0 ×8,,September 2021,CM8070804494617,$539,8 (16),,UHD Graphics P750,350-1300 MHz,,,,,,,,,,,,,
1215,Xeon E3-1105C,SR0NS (D2),4,1 GHz,—,4 × 256 KB,6 MB,25 W,BGA 1284,DMI 2.0,2× DDR3-1600,May 2012,AV8062701048800,$333,,,,,,,,,,,,,,,,,
1216,Xeon E3-1125C,SR0NU (D2),4,2 GHz,—,4 × 256 KB,8 MB,40 W,BGA 1284,DMI 2.0,2× DDR3-1600,May 2012,AV8062701146600,$444,,,,,,,,,,,,,,,,,
1218,Xeon E3-1220L,SR070 (Q0),2,2.2 GHz,10/12,2 × 256 KB,3 MB,20 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262834 CM8062307262828,$189,,,—,—,,,,,,,,,,,,,
1220,Xeon E3-1220,SR00F (D2),4,3.1 GHz,1/2/2/3,4 × 256 KB,8 MB,80 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062300921702 BX80623E31220,$189,,,—,—,,,,,,,,,,,,,
1221,Xeon E3-1225,SR00G (D2),4,3.1 GHz,1/2/2/3,4 × 256 KB,6 MB,95 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262304 BX80623E31225,$194,,,HD Graphics P3000,850–1350 MHz,,,,,,,,,,,,,
1222,Xeon E3-1230,SR00H (D2),4,3.2 GHz,1/2/3/4,4 × 256 KB,8 MB,80 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262610 BX80623E31230,$215,,,—,—,,,,,,,,,,,,,
1223,Xeon E3-1235,SR00J (D2),4,3.2 GHz,1/2/3/4,4 × 256 KB,8 MB,95 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262206 BX80623E31235,$240,,,HD Graphics P3000,850–1350 MHz,,,,,,,,,,,,,
1224,Xeon E3-1240,SR00K (D2),4,3.3 GHz,1/2/3/4,4 × 256 KB,8 MB,80 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262503 BX80623E31240,$250,,,—,—,,,,,,,,,,,,,
1225,Xeon E3-1245,SR00L (D2),4,3.3 GHz,1/2/3/4,4 × 256 KB,8 MB,95 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262103 BX80623E31245,$262,,,HD Graphics P3000,850–1350 MHz,,,,,,,,,,,,,
1226,Xeon E3-1270,SR00N (D2),4,3.4 GHz,1/2/3/4,4 × 256 KB,8 MB,80 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262403 BX80623E31270,$328,,,—,—,,,,,,,,,,,,,
1227,Xeon E3-1275,SR00P (D2),4,3.4 GHz,1/2/3/4,4 × 256 KB,8 MB,95 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307262003 BX80623E31275,$339,,,HD Graphics P3000,850–1350 MHz,,,,,,,,,,,,,
1228,Xeon E3-1280,SR00R (D2),4,3.5 GHz,1/2/3/4,4 × 256 KB,8 MB,95 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062307261903 BX80623E31280,$612,,,—,—,,,,,,,,,,,,,
1229,Xeon E3-1290,SR055 (D2),4,3.6 GHz,1/2/3/4,4 × 256 KB,8 MB,95 W,LGA 1155,DMI 2.0,,"May 29, 2011",CM8062307261903,$885,,,—,—,,,,,,,,,,,,,
1231,Xeon E3-1260L,SR00M (D2),4,2.4 GHz,1/4/8/9,4 × 256 KB,8 MB,45 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062301061800,$294,,,HD Graphics 2000,650–1250 MHz,,,,,,,,,,,,,
1232,Xeon E3-1265L,SR0G0 (D2),4,2.4 GHz,1/4/8/9,4 × 256 KB,8 MB,45 W,LGA 1155,DMI 2.0,,"April 3, 2011",CM8062301149700,OEM,,,HD Graphics P3000,650–1250 MHz,,,,,,,,,,,,,
1234,Xeon E5-1410,SR0RM (M1),4,2.8 GHz,3/4/4/4,4 × 256 KB,10 MB,80 W,LGA 1356,DMI 2.0,3× DDR3-1333,"May 14, 2012",CM8062001257301,OEM,,,,,,,,,,,,,,,,,
1236,Xeon E5-1428L,SR0JW (C2) SR0M4 (C2),6,1.8 GHz,—,6 × 256 KB,15 MB,60 W,LGA 1356,DMI 2.0,3× DDR3-1333,Q2 2012,CM8062001144000,$395,,,,,,,,,,,,,,,,,
1238,Xeon E5-2403,SR0LS (M1),4,1.8 GHz,—,4 × 256 KB,10 MB,80 W,LGA 1356,6.4 GT/s QPI,3× DDR3-1066,"May 14, 2012",CM8062001048300 BX80621E52403,$188 $195,,,,,,,,,,,,,,,,,
1239,Xeon E5-2407,SR0LR (M1),4,2.2 GHz,—,4 × 256 KB,10 MB,80 W,LGA 1356,6.4 GT/s QPI,3× DDR3-1066,"May 14, 2012",CM8062001048200 BX80621E52407,$250 $251,,,,,,,,,,,,,,,,,
1241,Xeon E5-2418L,SR0M5 (M1),4,2 GHz,0/0/1/1,4 × 256 KB,10 MB,50 W,LGA 1356,6.4 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062000911406,$387,,,,,,,,,,,,,,,,,
1243,Xeon E5-2420,SR0LN (C2),6,1.9 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 1356,7.2 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062001183000 BX80621E52420,$387 $391,,,,,,,,,,,,,,,,,
1244,Xeon E5-2430,SR0LM (C2),6,2.2 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 1356,7.2 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062001122601 BX80621E52430,$551 $554,,,,,,,,,,,,,,,,,
1245,Xeon E5-2440,SR0LK (C2),6,2.4 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 1356,7.2 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062000862604 BX80621E52440,$832 $837,,,,,,,,,,,,,,,,,
1247,Xeon E5-2428L,SR0JV (C2) SR0M3 (C2),6,1.8 GHz,0/0/1/1/2/2,6 × 256 KB,15 MB,60 W,LGA 1356,7.2 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062007187509,$628,,,,,,,,,,,,,,,,,
1248,Xeon E5-2430L,SR0LL (C2),6,2 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,60 W,LGA 1356,7.2 GT/s QPI,3× DDR3-1333,"May 14, 2012",CM8062000862912,$662,,,,,,,,,,,,,,,,,
1250,Xeon E5-2450,SR0LJ (C2),8,2.1 GHz,5/5/6/6/7/7/8/8,8 × 256 KB,20 MB,95 W,LGA 1356,8.0 GT/s QPI,3× DDR3-1600,"May 14, 2012",CM8062000862501 BX80621E52450,$1107 $1112,,,,,,,,,,,,,,,,,
1251,Xeon E5-2470,SR0LG (C2),8,2.3 GHz,5/5/6/6/7/7/8/8,8 × 256 KB,20 MB,95 W,LGA 1356,8.0 GT/s QPI,3× DDR3-1600,"May 14, 2012",CM8062007187242 BX80621E52470,$1440 $1444,,,,,,,,,,,,,,,,,
1253,Xeon E5-2448L,SR0JU (C2) SR0M2 (C2),8,1.8 GHz,0/0/1/1/2/2/3/3,8 × 256 KB,20 MB,70 W,LGA 1356,8.0 GT/s QPI,3× DDR3-1600,"May 14, 2012",CM8062007187409,$1151,,,,,,,,,,,,,,,,,
1254,Xeon E5-2449L,SR0R1 (C2),8,1.4 GHz,1.8 GHz,8 × 256 KB,20 MB,50 W,LGA 1356,8.0 GT/s QPI,3× DDR3-1600,"May 14, 2012",CM8062001239600,OEM,,,,,,,,,,,,,,,,,
1255,Xeon E5-2450L,SR0LH (C2),8,1.8 GHz,2/2/3/3/4/4/5/5,8 × 256 KB,20 MB,70 W,LGA 1356,8.0 GT/s QPI,3× DDR3-1600,"May 14, 2012",CM8062007283711,$1106,,,,,,,,,,,,,,,,,
1257,Xeon E5-1603,SR0L9 (M1),4,2.8 GHz,—,4 × 256 KB,10 MB,130 W,LGA 2011,DMI 2.0,4× DDR3-1066,"March 6, 2012",CM8062107186502,$198,,,,,,,,,,,,,,,,,
1258,Xeon E5-1607,SR0L8 (M1),4,3 GHz,—,4 × 256 KB,10 MB,130 W,LGA 2011,DMI 2.0,4× DDR3-1066,"March 6, 2012",CM8062107186102,$244,,,,,,,,,,,,,,,,,
1259,Xeon E5-1620,SR0LC (M1),4,3.6 GHz,1/1/2/2,4 × 256 KB,10 MB,130 W,LGA 2011,DMI 2.0,4× DDR3-1600,"March 6, 2012",CM8062101038606,$294,,,,,,,,,,,,,,,,,
1260,Xeon E5-1650,SR0HC (C1) SR0KZ (C2),6,3.2 GHz,3/3/4/5/6/6,6 × 256 KB,12 MB,130 W,LGA 2011,DMI 2.0,4× DDR3-1600,"March 6, 2012",CM8062101102002,$583,,,,,,,,,,,,,,,,,
1261,Xeon E5-1660,SR0H2 (C1) SR0KN (C2),6,3.3 GHz,3/3/4/4/6/6,6 × 256 KB,15 MB,130 W,LGA 2011,DMI 2.0,4× DDR3-1600,"March 6, 2012",CM8062107284111 BX80621E51660,$1080 $1083,,,,,,,,,,,,,,,,,
1263,Xeon E5-2637,SR0LE (M1),2,3 GHz,5/5,2 × 256 KB,5 MB,80 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101143202,$885,,,,,,,,,,,,,,,,,
1265,Xeon E5-2603,SR0LB (M1),4,1.8 GHz,—,4 × 256 KB,10 MB,80 W,LGA 2011,2× 6.4 GT/s QPI,4× DDR3-1066,"March 6, 2012",CM8062100856501 BX80621E52603,$198 $207,,,,,,,,,,,,,,,,,
1266,Xeon E5-2609,SR0LA (M1),4,2.4 GHz,—,4 × 256 KB,10 MB,80 W,LGA 2011,2× 6.4 GT/s QPI,4× DDR3-1066,"March 6, 2012",CM8062107186604 BX80621E52609,$294 $299,,,,,,,,,,,,,,,,,
1267,Xeon E5-2643,SR0L7 (M1),4,3.3 GHz,1/1/2/2,4 × 256 KB,10 MB,130 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062107185605,$885,,,,,,,,,,,,,,,,,
1269,Xeon E5-2618L,SR0M1 (M1),4,1.8 GHz,—,4 × 256 KB,10 MB,40 W,LGA 2011,2× 6.4 GT/s QPI,4× DDR3-1333,"July 22, 2013",CM8062101187102,OEM,,,,,,,,,,,,,,,,,
1271,Xeon E5-2620,SR0KW (C2) SR0H7 (C1),6,2 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"March 6, 2012",CM8062101048401 BX80621E52620,$406 $410,,,,,,,,,,,,,,,,,
1272,Xeon E5-2630,SR0KV (C2) SR0H6 (C1),6,2.3 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"March 6, 2012",CM8062101038801 BX80621E52630,$612 $616,,,,,,,,,,,,,,,,,
1273,Xeon E5-2640,SR0KR (C2) SR0H5 (C1),6,2.5 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"March 6, 2012",CM8062100856401 BX80621E52640,$885 $889,,,,,,,,,,,,,,,,,
1274,Xeon E5-2667,SR0KP (C2) SR0H3 (C1),6,2.9 GHz,3/3/3/4/5/6,6 × 256 KB,15 MB,130 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062100854802,$1552,,,,,,,,,,,,,,,,,
1276,Xeon E5-2628L,SR0LY (C2),6,1.8 GHz,—,6 × 256 KB,15 MB,60 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"July 22, 2013",CM8062100911304,OEM,,,,,,,,,,,,,,,,,
1277,Xeon E5-2630L,SR0KM (C2) SR0H1 (C1),6,2 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,60 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"March 6, 2012",CM8062107185405,$662,,,,,,,,,,,,,,,,,
1279,Xeon E5-2650,SR0KQ (C2) SR0H4 (C1),8,2 GHz,4/4/5/5/5/7/8/8,8 × 256 KB,20 MB,95 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062100856218 BX80621E52650,$1107 $1112,,,,,,,,,,,,,,,,,
1280,Xeon E5-2658,SR0LZ (C2) SR0HG (C1),8,2.1 GHz,0/0/1/1/2/2/3/3,8 × 256 KB,20 MB,95 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101042805,$1186,,,,,,,,,,,,,,,,,
1281,Xeon E5-2660,SR0KK (C2) SR0GZ (C1),8,2.2 GHz,5/5/6/6/7/7/8/8,8 × 256 KB,20 MB,95 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062107184801 BX80621E52660,$1329 $1333,,,,,,,,,,,,,,,,,
1282,Xeon E5-2665,SR0L1 (C2) SR0HB (C1),8,2.4 GHz,4/4/5/5/6/6/7/7,8 × 256 KB,20 MB,115 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101143101 BX80621E52665,$1440 $1444,,,,,,,,,,,,,,,,,
1283,Xeon E5-2670,SR0KX (C2) SR0H8 (C1),8,2.6 GHz,4/4/5/5/6/6/7/7,8 × 256 KB,20 MB,115 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101082713 BX80621E52670,$1552 $1556,,,,,,,,,,,,,,,,,
1284,Xeon E5-2689,SR0L6 (C2) SR0HD (C1),8,2.6 GHz,7/7/7/7/8/8/10/10,8 × 256 KB,20 MB,115 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101163000,OEM,,,,,,,,,,,,,,,,,
1285,Xeon E5-2680,SR0KH (C2) SR0GY (C1),8,2.7 GHz,4/4/5/5/5/7/8/8,8 × 256 KB,20 MB,130 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062107184424 BX80621E52680,$1723 $1727,,,,,,,,,,,,,,,,,
1286,Xeon E5-2690,SR0L0 (C2) SR0HA (C1),8,2.9 GHz,4/4/4/5/5/7/7/9,8 × 256 KB,20 MB,135 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062101122501 BX80621E52690,$2057 $2061,,,,,,,,,,,,,,,,,
1287,Xeon E5-2687W,SR0KG (C2) SR0GX (C1),8,3.1 GHz,3/3/3/4/4/5/5/7,8 × 256 KB,20 MB,150 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062107184308 BX80621E52687W,$1885 $1890,,,,,,,,,,,,,,,,,
1289,Xeon E5-2648L,SR0LX (C2) SR0HE (C1),8,1.8 GHz,0/0/1/1/2/2/3/3,8 × 256 KB,20 MB,70 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062100854905,$1186,,,,,,,,,,,,,,,,,
1290,Xeon E5-2650L,SR0KL (C2) SR0H0 (C1),8,1.8 GHz,2/2/3/3/4/4/5/5,8 × 256 KB,20 MB,70 W,LGA 2011,2× 8.0 GT/s QPI,4× DDR3-1600,"March 6, 2012",CM8062107185309,$1107,,,,,,,,,,,,,,,,,
1292,Xeon E5-4603,SR0LF (M1),4,2 GHz,—,4 × 256 KB,10 MB,95 W,LGA 2011,2× 6.4 GT/s QPI,4× DDR3-1066,"May 14, 2012",CM8062101190400 BX80621E54603,$551 $555,,,,,,,,,,,,,,,,,
1294,Xeon E5-4607,SR0JL (Unknown) SR0KU (C2),6,2.2 GHz,—,6 × 256 KB,12 MB,95 W,LGA 2011,2× 6.4 GT/s QPI,4× DDR3-1066,"May 14, 2012",CM8062101038501 BX80621E54607,$885 $889,,,,,,,,,,,,,,,,,
1295,Xeon E5-4610,SR0JJ (Unknown) SR0KS (C2),6,2.4 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,95 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"May 14, 2012",CM8062100862401 BX80621E54610,$1219 $1223,,,,,,,,,,,,,,,,,
1296,Xeon E5-4617,SR0JQ (Unknown) SR0L5 (C2),6,2.9 GHz,3/3/4/4/5/5,6 × 256 KB,15 MB,130 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1600,"May 14, 2012",CM8062101145700,$1611,,,,,,,,,,,,,,,,,
1298,Xeon E5-4620,SR0JP (Unknown) SR0L4 (C2),8,2.2 GHz,1/1/2/2/3/3/4/4,8 × 256 KB,16 MB,95 W,LGA 2011,2× 7.2 GT/s QPI,4× DDR3-1333,"May 14, 2012",CM8062101145500 BX80621E54620,$1611 $1616,,,,,,,,,,,,,,,,,
